ProjectCode,NameProject,SerialNumber,GhabzExit,FactorNumber,FactorType3,KarshenasiAvalie,ReceiverProject,Description,Id,Employer,DateKhoroj,DateVorod,FileDate,DeliveryDate,DateMovaqatExit,SematId,UserId,DateSabtPoroje,DateNiazMoshtari,IsPoshe,FactorType
2589,استاتور آلستوم,0557,,795,,سیم پیچی,,,11593,58,2026-05-28 00:00:00.000,2026-04-07 00:00:00.000,,,,106,28,2026-04-08 17:42:32.390,,True,5
2590,استاتور آلستوم,0543,,795,,سیم پیچی,,,12591,58,2026-05-28 00:00:00.000,2026-04-11 00:00:00.000,,,,106,28,2026-04-16 08:08:52.480,,True,5
2591,استاتور آلستوم,0160,,796,,سیم پیچی,,,12592,58,2026-05-31 00:00:00.000,2026-04-11 00:00:00.000,,,,106,28,2026-04-16 08:09:39.630,,True,5
2592,الکتروموتور 45kw-1470rPM-142.8/82.7A-220∆/380¥,,,784-785,,سیم پیچی,,,12593,145,2026-04-16 00:00:00.000,2026-04-12 00:00:00.000,,,,106,28,2026-04-16 08:10:56.163,,True,5
2593,الکتروموتور 45kw-14700rpm-142.8/82.7A-220/380V,,,784-785,,سیم پیچی,,,12594,145,2026-04-21 00:00:00.000,2026-04-12 00:00:00.000,,,,106,28,2026-04-16 08:11:47.806,,True,5
2594,الکتروموتور DC,,,,,عودت,,,12595,4211,2026-04-15 00:00:00.000,2026-04-13 00:00:00.000,,,,106,28,2026-04-16 08:13:19.773,,True,6
2595,الکتروموتور 22KW-1400RPM,,,790-791,,سیم پیچی,,,12596,54,2026-05-13 00:00:00.000,2026-04-15 00:00:00.000,,,,106,28,2026-04-16 08:14:08.680,,True,5
2596,الکتروموتور 4KW-800RPM-80V,,,790-791,,سیم پیچی,,,12597,54,2026-05-13 00:00:00.000,2026-04-15 00:00:00.000,,,,106,28,2026-04-16 08:16:54.403,,True,5
2597,الکتروموتور 5.5 تن,,,790-791,,سیم پیچی,,,12598,54,2026-05-13 00:00:00.000,2026-04-15 00:00:00.000,,,,106,28,2026-04-16 08:17:26.433,,True,5
2598,آرمیچر 5.5 تن ,,,,,,,,12599,4212,,2026-04-19 00:00:00.000,,,,69,29,2026-04-20 11:07:57.433,,True,0
2599,استاتور آلستوم,0181,,797,,سیم پیچی,,,12600,58,2026-06-04 00:00:00.000,2026-04-23 00:00:00.000,,,,106,28,2026-04-25 10:52:02.050,,True,5
2600,استاتور آلستوم ,668,,796,,سیم پیچی,,,12601,58,2026-05-31 00:00:00.000,2026-04-23 00:00:00.000,,,,106,28,2026-04-25 10:52:37.643,,True,5
2601,استاتور اکسیژن 315kw,,,2910,,اورهال ,,,12602,4213,2026-05-02 00:00:00.000,2026-04-26 00:00:00.000,,,,106,28,2026-04-30 12:32:41.450,,True,8
2602,الکتروموتور 45KW--1471RPM-82A-400V,,,794,,سیم پیچی,,,13602,4210,2026-05-14 00:00:00.000,2026-05-06 00:00:00.000,,,,106,28,2026-05-11 13:24:25.283,,True,5
2603,استاتور آلستوم ,693,,,,,,,13603,58,,2026-05-07 00:00:00.000,,,,69,29,2026-05-11 16:07:05.060,,True,0
